Symbol	ALT Code	ALT X Code	Symbol Name	HTML Entity DEC	HTML Entity HEX	HTML Entity Named	Unicode Code Point
•	ALT 7 or ALT 0149 or ALT 8226	2022 ALT X	Bullet, black small circle	•	•	•
•	U+2022
‣	ALT 8227	2023 ALT X	Triangular bullet	‣	‣		U+2023
⁃	ALT 8259	2043 ALT X	Hyphen bullet	⁃	⁃	⁃	U+2043
⁌	ALT 8268	204C ALT X	Black leftwards bullet	⁌	⁌		U+204C
⁍	ALT 8269	204D ALT X	Black rightwards bullet	⁍	⁍		U+204D
∙	ALT 249 or ALT 8729	2219 ALT X	Bullet operator	∙	∙		U+2219
▪	ALT 9642	25AA ALT X	Black small square, square bullet	▪	▪	▪	U+25AA
◉	ALT 9673	25C9 ALT X	Fisheye, tainome (Japanese, a kind of bullet)	◉	◉		U+25C9
○   ALT 9 or ALT 9675	25CB ALT X	White circle	○	○	○	U+25CB
◘	ALT 8 or ALT 9688	25D8 ALT X	Inverse bullet	◘	◘		U+25D8
ALT 10 or ALT 9689	25D9 ALT X	Inverse white circle	◙	◙		U+25D9
◦	ALT 9702	25E6 ALT X	White bullet	◦	◦		U+25E6
☙	ALT 9753	2619 ALT X	Reversed rotated floral heart bullet	☙	☙		U+2619
❥	ALT 10085	2765 ALT X	Rotated heavy black heart bullet	❥	❥		U+2765
❧	ALT 10087	2767 ALT X	Rotated floral heart bullet, hedera, ivy leaf	❧	❧		U+2767
⦾	ALT 10686	29BE ALT X	Circled white bullet, white point bullet	⦾	⦾	⦾	U+29BE
⦿	ALT 10687	29BF ALT X	Circled bullet, black point bullet	⦿	⦿	⦿	U+29BF
