Symbol	ALT Code	ALT X Code	Symbol Name	HTML Entity DEC	HTML Entity HEX	HTML Entity Named	Unicode Code Point
$	ALT 36 or ALT 0036	0024 ALT X	Dollar sign, milréis, escudo	&#36;	&#x0024;	&dollar;	U+0024
¢	ALT 155 or ALT 0162	00A2 ALT X	Cent sign	&#162;	&#x00A2;	&cent;	U+00A2
£	ALT 156 or ALT 0163	00A3 ALT X	Pound sign, pound sterling, Irish punt	&#163;	&#x00A3;	&pound;	U+00A3
¤	ALT 0164	00A4 ALT X	Currency sign	&#164;	&#x00A4;	&curren;	U+00A4
¥	ALT 157 or ALT 0165	00A5 ALT X	Yen sign, yuan sign	&#165;	&#x00A5;	&yen;	U+00A5
ƒ	ALT 402	0192 ALT X	Florin currency symbol (Netherlands), Latin small letter f with hook	&#402;	&#x0192;		U+0192
֏	ALT 1423	058F ALT X	Armenian dram sign	&#1423;	&#x058F;		U+058F
؋	ALT 1547	060B ALT X	Afghani sign	&#1547;	&#x060B;		U+060B
߾	ALT 2046	07FE ALT X	Nko dorome sign	&#2046;	&#x12FE;		U+07FE
߿	ALT 2047	07FF ALT X	Nko taman sign	&#2047;	&#x12FF;		U+07FF
৲	ALT 2546	09F2 ALT X	Bengali rupee mark, taka	&#2546;	&#x09F2;		U+09F2
৳	ALT 2547	09F3 ALT X	Bengali rupee sign, Bangladeshi taka	&#2547;	&#x09F3;		U+09F3
৻	ALT 2555	09FB ALT X	Bengali ganda mark	&#2555;	&#x09FB;		U+09FB
૱	ALT 2801	0AF1 ALT X	Gujarati rupee sign	&#2801;	&#x0AF1;		U+0AF1
௹	ALT 3065	0BF9 ALT X	Tamil rupee sign, rupai	&#3065;	&#x0BF9;		U+0BF9
฿	ALT 3647	0E3F ALT X	Thai currency symbol baht	&#3647;	&#x0E3F;		U+0E3F
៛	ALT 6107	17DB ALT X	Khmer currency symbol riel	&#6107;	&#x17DB;		U+17DB
₠	ALT 8352	20A0 ALT X	Euro-currency sign	&#8352;	&#x20A0;		U+20A0
₡	ALT 8353	20A1 ALT X	Colon sign	&#8353;	&#x20A1;		U+20A1
